N-grams analysis for "One hundred years of solitude" by Gabriel Garcia Marquez

2-GRAMs
--------
YEARS LATER: 2
as he: 76
he faced: 5
faced the: 7
the firing: 10
firing squad: 10
Colonel Aureliano: 196
Aureliano Buendía: 173
Buendía was: 29
was to: 34
to remember: 9
remember that: 6
that distant: 4
afternoon when: 21
when his: 10
his father: 31
father took: 2
took him: 21
him to: 98
to discover: 9
At that: 18
that time: 94
Macondo was: 10
was a: 170
a village: 5
village of: 4
of twenty: 5
adobe houses: 2
built on: 3
on the: 425
the bank: 2
bank of: 2
of a: 256
river of: 2
of clear: 2
clear water: 2
water that: 5
along a: 5
a bed: 3
bed of: 7
which were: 14
white and: 2
The world: 2
world was: 6
was so: 78
so recent: 2
recent that: 2
that many: 8
many things: 5
names and: 6
and in: 62
in order: 92
order to: 91
it was: 215
was necessary: 6
necessary to: 9
Every year: 2
during the: 93
month of: 2
of March: 2
a family: 5
family of: 2
set up: 28
up their: 7
near the: 5
the village: 17
village and: 3
and with: 75
with a: 324
a great: 21
uproar of: 3
they would: 63
First they: 3
they brought: 18
brought the: 9
gypsy with: 2
with an: 42
sparrow hands: 2
hands who: 3
himself as: 2
as Melquíades: 2
put on: 36
on a: 60
demonstration of: 3
of what: 6
what he: 27
he himself: 10
called the: 5
of the: 1331
He went: 16
went from: 3
from house: 6
house to: 17
to house: 6
ingots and: 2
was amazed: 2
to see: 65
down from: 3
from their: 7
places and: 3
from the: 206
the desperation: 3
desperation of: 2
trying to: 33
and even: 41
that had: 117
had been: 280
been lost: 2
lost for: 4
for a: 91
a long: 48
long time: 33
from where: 2
where they: 30
they had: 113
searched for: 4
most and: 4
and went: 23
along in: 4
have a: 29
a life: 3
life of: 12
of their: 49
their own: 8
” the: 23
the gypsy: 12
a harsh: 3
simply a: 4
a matter: 7
matter of: 7
waking up: 4
José Arcadio: 368
Arcadio Buendía: 156
always went: 2
went beyond: 3
beyond the: 8
of nature: 4
even beyond: 2
thought that: 52
that it: 87
it would: 14
would be: 70
possible to: 10
to make: 63
make use: 3
use of: 12
of that: 43
gold from: 3
the bowels: 2
bowels of: 2
the earth.: 4
Melquíades who: 3
who was: 85
was an: 31
“It won’t: 2
work for: 5
But José: 6
Buendía at: 2
at that: 76
time did: 4
did not: 380
not believe: 6
believe in: 5
in the: 1040
the honesty: 2
so he: 4
mule and: 2
and a: 135
a pair: 13
pair of: 14
of goats: 2
for the: 242
the two: 15
two magnetized: 2
Úrsula Iguarán: 2
his wife: 33
wife who: 5
relied on: 2
on those: 4
animals to: 2
to increase: 3
was unable: 7
unable to: 22
to dissuade: 3
well have: 2
enough and: 2
and more: 30
more to: 3
to pave: 2
pave the: 2
the floors: 6
floors of: 3
the house: 227
house ”: 3
” her: 3
her husband: 39
For several: 6
several months: 10
months he: 4
he worked: 2
hard to: 2
the truth: 8
truth of: 4
of his: 328
inch of: 2
the region: 6
even the: 19
dragging the: 2
The only: 27
only thing: 30
thing he: 2
he succeeded: 8
succeeded in: 29
in doing: 2
suit of: 2
which had: 26
had all: 5
all of: 39
of its: 19
together with: 5
with rust: 2
rust and: 2
and inside: 2
inside of: 10
of which: 23
which there: 4
there was: 67
was the: 163
the hollow: 3
